;City;Year;Thermal_stress;size
0;Владивосток;1979;extreme cold stress;0
1;Владивосток;1979;strong cold stress;4
2;Владивосток;1979;moderate cold stress;11
3;Владивосток;1979;slight cold stress;32
4;Владивосток;1979;no thermal stress;52
5;Владивосток;1979;slight heat stress;38
6;Владивосток;1979;moderate heat stress;15
7;Владивосток;1979;strong heat stress;1
8;Владивосток;1979;extreme heat stress;0
9;Владивосток;1980;extreme cold stress;0
10;Владивосток;1980;strong cold stress;1
11;Владивосток;1980;moderate cold stress;18
12;Владивосток;1980;slight cold stress;34
13;Владивосток;1980;no thermal stress;56
14;Владивосток;1980;slight heat stress;40
15;Владивосток;1980;moderate heat stress;4
16;Владивосток;1980;strong heat stress;0
17;Владивосток;1980;extreme heat stress;0
18;Владивосток;1981;extreme cold stress;1
19;Владивосток;1981;strong cold stress;5
20;Владивосток;1981;moderate cold stress;21
21;Владивосток;1981;slight cold stress;42
22;Владивосток;1981;no thermal stress;47
23;Владивосток;1981;slight heat stress;34
24;Владивосток;1981;moderate heat stress;3
25;Владивосток;1981;strong heat stress;0
26;Владивосток;1981;extreme heat stress;0
27;Владивосток;1982;extreme cold stress;3
28;Владивосток;1982;strong cold stress;0
29;Владивосток;1982;moderate cold stress;20
30;Владивосток;1982;slight cold stress;31
31;Владивосток;1982;no thermal stress;50
32;Владивосток;1982;slight heat stress;42
33;Владивосток;1982;moderate heat stress;7
34;Владивосток;1982;strong heat stress;0
35;Владивосток;1982;extreme heat stress;0
36;Владивосток;1983;extreme cold stress;1
37;Владивосток;1983;strong cold stress;6
38;Владивосток;1983;moderate cold stress;28
39;Владивосток;1983;slight cold stress;39
40;Владивосток;1983;no thermal stress;37
41;Владивосток;1983;slight heat stress;32
42;Владивосток;1983;moderate heat stress;10
43;Владивосток;1983;strong heat stress;0
44;Владивосток;1983;extreme heat stress;0
45;Владивосток;1984;extreme cold stress;0
46;Владивосток;1984;strong cold stress;0
47;Владивосток;1984;moderate cold stress;20
48;Владивосток;1984;slight cold stress;43
49;Владивосток;1984;no thermal stress;45
50;Владивосток;1984;slight heat stress;32
51;Владивосток;1984;moderate heat stress;12
52;Владивосток;1984;strong heat stress;1
53;Владивосток;1984;extreme heat stress;0
54;Владивосток;1985;extreme cold stress;0
55;Владивосток;1985;strong cold stress;1
56;Владивосток;1985;moderate cold stress;9
57;Владивосток;1985;slight cold stress;54
58;Владивосток;1985;no thermal stress;38
59;Владивосток;1985;slight heat stress;40
60;Владивосток;1985;moderate heat stress;11
61;Владивосток;1985;strong heat stress;0
62;Владивосток;1985;extreme heat stress;0
63;Владивосток;1986;extreme cold stress;1
64;Владивосток;1986;strong cold stress;2
65;Владивосток;1986;moderate cold stress;28
66;Владивосток;1986;slight cold stress;47
67;Владивосток;1986;no thermal stress;49
68;Владивосток;1986;slight heat stress;24
69;Владивосток;1986;moderate heat stress;2
70;Владивосток;1986;strong heat stress;0
71;Владивосток;1986;extreme heat stress;0
72;Владивосток;1987;extreme cold stress;0
73;Владивосток;1987;strong cold stress;6
74;Владивосток;1987;moderate cold stress;23
75;Владивосток;1987;slight cold stress;34
76;Владивосток;1987;no thermal stress;56
77;Владивосток;1987;slight heat stress;31
78;Владивосток;1987;moderate heat stress;3
79;Владивосток;1987;strong heat stress;0
80;Владивосток;1987;extreme heat stress;0
81;Владивосток;1988;extreme cold stress;1
82;Владивосток;1988;strong cold stress;6
83;Владивосток;1988;moderate cold stress;20
84;Владивосток;1988;slight cold stress;28
85;Владивосток;1988;no thermal stress;58
86;Владивосток;1988;slight heat stress;31
87;Владивосток;1988;moderate heat stress;8
88;Владивосток;1988;strong heat stress;1
89;Владивосток;1988;extreme heat stress;0
90;Владивосток;1989;extreme cold stress;1
91;Владивосток;1989;strong cold stress;4
92;Владивосток;1989;moderate cold stress;21
93;Владивосток;1989;slight cold stress;53
94;Владивосток;1989;no thermal stress;31
95;Владивосток;1989;slight heat stress;32
96;Владивосток;1989;moderate heat stress;11
97;Владивосток;1989;strong heat stress;0
98;Владивосток;1989;extreme heat stress;0
99;Владивосток;1990;extreme cold stress;0
100;Владивосток;1990;strong cold stress;3
101;Владивосток;1990;moderate cold stress;15
102;Владивосток;1990;slight cold stress;39
103;Владивосток;1990;no thermal stress;50
104;Владивосток;1990;slight heat stress;36
105;Владивосток;1990;moderate heat stress;10
106;Владивосток;1990;strong heat stress;0
107;Владивосток;1990;extreme heat stress;0
108;Владивосток;1991;extreme cold stress;1
109;Владивосток;1991;strong cold stress;2
110;Владивосток;1991;moderate cold stress;15
111;Владивосток;1991;slight cold stress;34
112;Владивосток;1991;no thermal stress;44
113;Владивосток;1991;slight heat stress;51
114;Владивосток;1991;moderate heat stress;6
115;Владивосток;1991;strong heat stress;0
116;Владивосток;1991;extreme heat stress;0
117;Владивосток;1992;extreme cold stress;1
118;Владивосток;1992;strong cold stress;4
119;Владивосток;1992;moderate cold stress;19
120;Владивосток;1992;slight cold stress;39
121;Владивосток;1992;no thermal stress;42
122;Владивосток;1992;slight heat stress;43
123;Владивосток;1992;moderate heat stress;5
124;Владивосток;1992;strong heat stress;0
125;Владивосток;1992;extreme heat stress;0
126;Владивосток;1993;extreme cold stress;0
127;Владивосток;1993;strong cold stress;6
128;Владивосток;1993;moderate cold stress;22
129;Владивосток;1993;slight cold stress;39
130;Владивосток;1993;no thermal stress;61
131;Владивосток;1993;slight heat stress;24
132;Владивосток;1993;moderate heat stress;1
133;Владивосток;1993;strong heat stress;0
134;Владивосток;1993;extreme heat stress;0
135;Владивосток;1994;extreme cold stress;1
136;Владивосток;1994;strong cold stress;6
137;Владивосток;1994;moderate cold stress;15
138;Владивосток;1994;slight cold stress;38
139;Владивосток;1994;no thermal stress;30
140;Владивосток;1994;slight heat stress;35
141;Владивосток;1994;moderate heat stress;28
142;Владивосток;1994;strong heat stress;0
143;Владивосток;1994;extreme heat stress;0
144;Владивосток;1995;extreme cold stress;0
145;Владивосток;1995;strong cold stress;4
146;Владивосток;1995;moderate cold stress;22
147;Владивосток;1995;slight cold stress;43
148;Владивосток;1995;no thermal stress;33
149;Владивосток;1995;slight heat stress;43
150;Владивосток;1995;moderate heat stress;7
151;Владивосток;1995;strong heat stress;1
152;Владивосток;1995;extreme heat stress;0
153;Владивосток;1996;extreme cold stress;0
154;Владивосток;1996;strong cold stress;4
155;Владивосток;1996;moderate cold stress;18
156;Владивосток;1996;slight cold stress;42
157;Владивосток;1996;no thermal stress;45
158;Владивосток;1996;slight heat stress;41
159;Владивосток;1996;moderate heat stress;3
160;Владивосток;1996;strong heat stress;0
161;Владивосток;1996;extreme heat stress;0
162;Владивосток;1997;extreme cold stress;0
163;Владивосток;1997;strong cold stress;6
164;Владивосток;1997;moderate cold stress;24
165;Владивосток;1997;slight cold stress;31
166;Владивосток;1997;no thermal stress;40
167;Владивосток;1997;slight heat stress;43
168;Владивосток;1997;moderate heat stress;9
169;Владивосток;1997;strong heat stress;0
170;Владивосток;1997;extreme heat stress;0
171;Владивосток;1998;extreme cold stress;0
172;Владивосток;1998;strong cold stress;2
173;Владивосток;1998;moderate cold stress;14
174;Владивосток;1998;slight cold stress;40
175;Владивосток;1998;no thermal stress;53
176;Владивосток;1998;slight heat stress;41
177;Владивосток;1998;moderate heat stress;3
178;Владивосток;1998;strong heat stress;0
179;Владивосток;1998;extreme heat stress;0
180;Владивосток;1999;extreme cold stress;0
181;Владивосток;1999;strong cold stress;1
182;Владивосток;1999;moderate cold stress;17
183;Владивосток;1999;slight cold stress;29
184;Владивосток;1999;no thermal stress;43
185;Владивосток;1999;slight heat stress;52
186;Владивосток;1999;moderate heat stress;11
187;Владивосток;1999;strong heat stress;0
188;Владивосток;1999;extreme heat stress;0
189;Владивосток;2000;extreme cold stress;2
190;Владивосток;2000;strong cold stress;3
191;Владивосток;2000;moderate cold stress;18
192;Владивосток;2000;slight cold stress;23
193;Владивосток;2000;no thermal stress;49
194;Владивосток;2000;slight heat stress;47
195;Владивосток;2000;moderate heat stress;10
196;Владивосток;2000;strong heat stress;1
197;Владивосток;2000;extreme heat stress;0
198;Владивосток;2001;extreme cold stress;0
199;Владивосток;2001;strong cold stress;4
200;Владивосток;2001;moderate cold stress;13
201;Владивосток;2001;slight cold stress;33
202;Владивосток;2001;no thermal stress;37
203;Владивосток;2001;slight heat stress;51
204;Владивосток;2001;moderate heat stress;14
205;Владивосток;2001;strong heat stress;1
206;Владивосток;2001;extreme heat stress;0
207;Владивосток;2002;extreme cold stress;0
